name,course,year,season,average_rating,num_reviews,average_gpa,num_students
Abhijit Dasgupta,ENME473,2022,winter,5.0,1.0,,
Abhinav Bhatele,CMSC416,2021,fall,3.5,2.0,3.46,70.0
Abhinav Bhatele,CMSC416,2022,fall,3.6666666666666665,3.0,3.521978021978022,91.0
Abigail McEwen,ARTH250,2010,fall,2.0,1.0,,
Abigail McEwen,ARTH260,2020,fall,1.0,1.0,3.8052631578947373,76.0
Abigail McEwen,ARTH260,2021,fall,4.0,1.0,3.761999999999999,100.0
Abigail McEwen,ARTH260C,2021,winter,4.0,1.0,,
Abigail McEwen,ARTH260C,2022,fall,5.0,1.0,3.5615384615384618,26.0
Abigail Nicolas,PSYC100,2022,fall,4.75,4.0,3.463333333333333,30.0
Abigail Nicolas,PSYC100,2023,winter,5.0,1.0,,
Abigail Nicolas,PSYC221,2022,fall,5.0,7.0,3.5578461538461545,325.0
Abigail Nicolas,PSYC221,2023,winter,5.0,1.0,,
Abigail Nicolas,PSYC234,2023,spring,1.0,1.0,,
Abigail Upshaw,ARTH201,2019,spring,4.0,1.0,,
Abigail Upshaw,ARTH201,2019,winter,4.0,1.0,,
Abigail Upshaw,ARTH201,2022,summer,1.0,1.0,,
Abolhassan Jawahery,PHYS273,2022,fall,4.5,2.0,3.221951219512195,41.0
Abolhassan Jawahery,PHYS273,2022,winter,4.0,1.0,,
Abolhassan Jawahery,PHYS405,2011,fall,4.0,1.0,,
Abram Kagan,STAT400,2008,fall,2.0,1.0,,
Abram Kagan,STAT400,2008,spring,4.0,1.0,,
Abram Kagan,STAT400,2008,summer,2.0,1.0,,
Abram Kagan,STAT400,2011,summer,2.0,2.0,,
Abram Kagan,STAT400,2012,spring,1.0,1.0,,
Abram Kagan,STAT400,2012,summer,2.0,1.0,,
Abram Kagan,STAT410,2018,fall,4.0,3.0,3.25,22.0
Adam Binkley,ENGL101,2010,fall,5.0,1.0,,
Adam Binkley,PHSC497,2022,spring,5.0,1.0,3.5062499999999996,16.0
Adam Brockett,PSYC304,2022,fall,5.0,3.0,3.23013698630137,73.0
Adam Factor,PSYC221,2021,fall,5.0,1.0,3.560135135135136,148.0
Adam Fracchia,ANTH240,2019,fall,4.0,1.0,3.1346153846153846,26.0
Adam Hsieh,BIOE120,2012,fall,4.0,1.0,3.1999999999999997,66.0
Adam Hsieh,BIOE120,2014,spring,4.0,1.0,,
Adam Hsieh,BIOE404,2010,fall,3.0,1.0,,
Adam Hsieh,BIOE404,2010,spring,5.0,1.0,,
Adam Hsieh,BIOE404,2011,fall,5.0,1.0,,
Adam Hsieh,BIOE404,2012,fall,3.0,1.0,3.012359550561798,89.0
Adam Hsieh,BIOE404,2012,spring,3.0,1.0,,
Adam Hsieh,BIOE404,2014,fall,4.0,1.0,3.3174757281553404,103.0
Adam Hsieh,BIOE404,2014,winter,4.0,1.0,,
Adam Kanigowski,MATH405,2021,spring,5.0,1.0,3.4749999999999996,24.0
Adam Kanigowski,MATH405,2023,spring,5.0,1.0,,
Adam Kanigowski,MATH406,2020,fall,4.0,1.0,,
Adam Kanigowski,MATH406,2020,spring,4.5,2.0,3.9037037037037035,27.0
Adam Lloyd,ENGL394,2022,fall,5.0,1.0,3.7526315789473683,38.0
Adam Porter,CMSC433,2008,fall,3.0,1.0,,
Adam Porter,CMSC433,2009,fall,4.0,1.0,,
Adam Porter,CMSC433,2012,spring,5.0,1.0,2.8023809523809526,42.0
Adam Porter,CMSC436,2018,fall,1.0,3.0,3.21056338028169,142.0
Adam Porter,CMSC436,2018,spring,5.0,1.0,,
Adam Porter,CMSC436,2019,fall,2.0,1.0,3.2872611464968156,157.0
Adam Porter,CMSC436,2022,fall,2.0,1.0,3.3026666666666666,150.0
Adam Porter,CMSC436,2022,spring,2.0,3.0,3.25,120.0
Adam Telatovich,MATH141,2019,fall,2.0,1.0,,
Adam Telatovich,MATH141,2019,spring,2.5,2.0,2.2090909090909085,176.0
Adam Telatovich,MATH246,2019,spring,2.5,4.0,2.8262745098039215,255.0
Adam Telatovich,STAT401,2019,spring,4.0,1.0,3.2292307692307687,65.0
Adams Steven,BMGT477,2023,spring,1.0,1.0,,
Adi Mahalel,CMLT242,2020,spring,1.0,1.0,,
Adi Mahalel,GERM148Y,2023,spring,5.0,1.0,,
Adi Mahalel,JWST272,2021,fall,1.0,1.0,3.437037037037037,27.0
Adi Mahalel,JWST272,2023,winter,5.0,1.0,,
Adil Hassam,PHYS121,2010,fall,4.0,1.0,,
Adil Hassam,PHYS121,2011,spring,4.333333333333333,3.0,,
Adil Hassam,PHYS121,2012,spring,5.0,1.0,2.9987012987012984,154.0
Adil Hassam,PHYS410,2020,fall,5.0,1.0,3.428787878787879,66.0
Adil Hassam,PHYS601,2007,fall,4.0,1.0,,
Adina Dabu,BMGT364,2022,winter,5.0,2.0,,
Aditya Acharya,CMSC250,2019,fall,4.666666666666667,3.0,,
Aditya Acharya,CMSC250,2019,summer,2.0,1.0,,
Aditya Ravindra Bhat,INST314,2020,fall,5.0,1.0,3.491999999999999,50.0
Aditya Ravindra Bhat,INST314,2021,spring,5.0,1.0,,
Aditya Ravindra Bhat,INST414,2019,fall,4.5,2.0,2.9918918918918918,37.0
Aditya Ravindra Bhat,INST414,2020,spring,5.0,1.0,3.7020408163265306,49.0
Adreanna Nattiel,WMST250,2021,spring,4.0,1.0,3.961224489795919,49.0
Adriane Fang,DANC218,2017,fall,5.0,1.0,,
Adrianos Papamarcou,ENEE222,2014,spring,5.0,1.0,,
Adrianos Papamarcou,ENEE222,2018,summer,4.0,1.0,,
Adrianos Papamarcou,ENEE222,2019,fall,3.0,1.0,3.3500000000000005,54.0
Adrianos Papamarcou,ENEE222,2021,spring,5.0,1.0,3.7186046511627917,43.0
Adrianos Papamarcou,ENEE222,2022,fall,3.0,1.0,2.8759999999999994,25.0
Adrianos Papamarcou,ENEE222,2022,spring,4.0,1.0,2.881818181818182,55.0
Adrianos Papamarcou,ENEE222,2023,winter,5.0,1.0,,
Adrianos Papamarcou,ENEE322,2014,fall,5.0,1.0,,
Adrianos Papamarcou,ENEE322,2021,spring,5.0,1.0,2.720833333333333,24.0
Adrianos Papamarcou,ENEE322,2021,winter,5.0,1.0,,
Adrianos Papamarcou,ENEE322H,2019,winter,3.0,1.0,,
Adrianos Papamarcou,ENEE324,2010,spring,3.0,1.0,,
Adrianos Papamarcou,ENEE324,2012,spring,4.0,1.0,2.852272727272727,44.0
Adrianos Papamarcou,ENEE324,2022,spring,3.0,1.0,2.583870967741935,31.0
Adrianos Papamarcou,ENEE425,2010,fall,3.0,1.0,,
Adrianos Papamarcou,ENEE620,2014,spring,4.0,1.0,2.9,12.0
Agisilaos Iliadis,ENEE303,2019,spring,2.0,1.0,3.0815789473684214,38.0
Agisilaos Iliadis,ENEE313,2011,spring,1.0,1.0,,
Agisilaos Iliadis,ENEE313,2018,fall,3.0,1.0,3.0374999999999996,40.0
Agisilaos Iliadis,ENEE313,2019,fall,2.5,2.0,2.8595744680851065,47.0
Agisilaos Iliadis,ENEE313,2019,spring,1.0,1.0,,
Agisilaos Iliadis,ENEE313,2021,spring,1.0,1.0,,
Agisilaos Iliadis,ENEE313,2023,spring,4.0,1.0,,
Agisilaos Iliadis,ENEE313,2023,winter,2.5,2.0,,
Agisilaos Iliadis,ENEE313H,2010,spring,3.0,1.0,,
Agisilaos Iliadis,ENEE313H,2014,spring,3.0,1.0,3.45,10.0
Agisilaos Iliadis,ENEE313H,2015,fall,3.0,1.0,,
Agisilaos Iliadis,ENEE313H,2015,spring,2.0,1.0,3.3866666666666663,15.0
Agisilaos Iliadis,ENEE313H,2022,spring,2.0,1.0,3.9,6.0
Agnieszka Zelerowicz,MATH120,2019,fall,1.5,2.0,2.986425339366516,221.0
Agnieszka Zelerowicz,MATH120,2020,winter,1.0,1.0,,
Agnieszka Zelerowicz,MATH120,2022,spring,1.0,6.0,2.5161290322580645,155.0
Ahmad Karimi-Hakkak,PERS371,2011,spring,5.0,1.0,,
Ahmed Hanafy,ARAB104,2020,fall,3.0,1.0,3.4266666666666667,15.0
Ahmed Hanafy,ARAB104,2021,spring,5.0,1.0,,
Ahmed Hanafy,ARAB105,2022,spring,5.0,1.0,3.8125,16.0
Ahmet Aydilek,ENCE340,2009,fall,5.0,1.0,,
Ahmet Aydilek,ENCE340,2010,fall,5.0,1.0,,
Ahmet Aydilek,ENCE340,2011,spring,5.0,2.0,,
Ahmet Aydilek,ENCE340,2021,spring,1.0,2.0,3.0153846153846158,13.0
Ahmet Karamustafa,HIST219X,2022,spring,5.0,1.0,3.4375,24.0
Ahmet Karamustafa,HIST319L,2021,spring,5.0,1.0,,
Ahmet Karamustafa,PERS251,2022,spring,5.0,1.0,,
Aida Roige Mas,PHIL100,2020,fall,4.0,2.0,3.2814814814814817,27.0
Aida Roige Mas,PHIL140,2021,fall,4.0,1.0,3.3444444444444446,27.0
Aida Roige Mas,PHIL140,2022,winter,4.0,1.0,,
Aida Roige Mas,PHIL366,2022,spring,3.5,2.0,3.34,25.0
Aida Roige Mas,PHIL366,2022,summer,1.0,1.0,,
Akarsh Ralhan,AOSC201,2022,fall,5.0,1.0,,
Akarsh Ralhan,AOSC201,2022,spring,5.0,1.0,3.8823529411764706,51.0
Alan Drew,HACS208Y,2018,fall,1.0,2.0,4.0,18.0
Alan Jacobs,BMGT365,2023,winter,5.0,1.0,,
Alan Kaufman,GEOL100,2023,spring,2.0,2.0,,
Alan Kaufman,GEOL124,2008,fall,2.0,2.0,,
Alan Lehman,CCJS200,2011,summer,5.0,1.0,,
Alan Lehman,CCJS200,2021,fall,5.0,1.0,,
Alan Lehman,CCJS300,2010,fall,5.0,1.0,,
Alan Lehman,CCJS300,2010,spring,5.0,1.0,,
Alan Lehman,CCJS300,2011,fall,5.0,1.0,,
Alan Lehman,CCJS300,2011,spring,5.0,1.0,,
Alan Lehman,CCJS300,2012,fall,5.0,1.0,3.055882352941176,102.0
Alan Lehman,CCJS300,2012,spring,4.0,1.0,3.060176991150442,113.0
Alan Lehman,CCJS300,2013,spring,5.0,1.0,3.3474226804123712,97.0
Alan Lehman,CCJS300,2020,fall,3.0,1.0,3.594845360824742,97.0
Alan Lehman,CCJS300,2021,fall,4.5,2.0,3.4050420168067226,119.0
Alan Lehman,CCJS300,2022,fall,5.0,1.0,3.122222222222223,99.0
Alan Lehman,CCJS300,2022,spring,4.0,1.0,3.107317073170732,82.0
Alan Lehman,CCJS352,2014,fall,1.0,1.0,2.5393939393939395,99.0
Alan Lehman,CCJS418P,2023,spring,5.0,1.0,,
Alan Montroso,ENGL101,2021,fall,5.0,1.0,,
Alan Montroso,ENGL101,2022,fall,5.0,2.0,3.8263157894736852,38.0
Alan Montroso,ENGL101,2022,spring,5.0,1.0,3.7017857142857147,56.0
Alan Montroso,ENGL101S,2021,fall,5.0,1.0,3.4710526315789467,38.0
Alan Montroso,ENGL101S,2022,winter,5.0,1.0,,
Alan Montroso,ENGL308C,2021,fall,5.0,1.0,3.5357142857142856,14.0
Alan Neustadtl,SOCY201,2008,fall,4.0,1.0,,
Alan Neustadtl,SOCY201,2009,spring,4.0,1.0,,
Alan Peel,ASTR230,2019,summer,3.0,1.0,,
Alan Peel,ASTR230,2020,fall,5.0,1.0,3.0494949494949495,99.0
Alan Peel,ASTR230,2020,spring,4.0,1.0,3.391666666666667,48.0
Alan Peel,ASTR230,2021,fall,3.0,1.0,3.025,60.0
Alan Peel,ASTR330,2020,summer,3.0,1.0,,
Alan Peel,ASTR330,2021,spring,3.0,2.0,3.1043478260869564,23.0
Alan Peel,CPSD100,2018,fall,4.0,1.0,,
Alan Peel,CPSD100,2021,spring,3.6666666666666665,3.0,3.6703703703703705,27.0
Alan Peel,CPSD100,2022,spring,3.0,1.0,,
Alan Sussman,CMSC216,2010,fall,1.0,1.0,,
Alan Sussman,CMSC216,2012,spring,4.0,3.0,2.4292682926829268,82.0
Alan Sussman,CMSC216,2016,spring,5.0,1.0,2.5243243243243243,111.0
Alana Ebert-zavos,UNIV100,2022,fall,5.0,1.0,3.7375000000000003,8.0
Alana Hackshaw,PLCY302,2023,spring,5.0,1.0,,
Alba Torrents,ENCE215,2008,fall,1.0,1.0,,
Alba Torrents,ENCE215,2009,fall,2.2,5.0,,
Alba Torrents,ENCE215,2010,winter,3.0,1.0,,
Alba Torrents,ENCE411,2010,fall,3.0,2.0,,
Alba Torrents,ENCE411,2012,winter,5.0,1.0,,
Albert Crosby,BMGT444,2019,fall,4.0,1.0,2.9179487179487174,39.0
Albert Kyle,BUFN400,2022,fall,4.0,1.0,3.1310344827586203,29.0
Albert Kyle,BUFN726,2022,spring,5.0,1.0,3.488679245283019,53.0
Albert Kyle,BUFN773,2012,spring,1.0,1.0,3.5871794871794864,78.0
Alberto Belloni,PHYS371,2022,spring,5.0,2.0,,
Alberto Bolatto,ASTR100,2018,spring,4.0,1.0,2.8473118279569896,186.0
Alberto Bolatto,ASTR100,2020,fall,4.0,1.0,,
Alberto Bolatto,ASTR101,2020,fall,4.0,1.0,3.316580310880829,193.0
Alberto Bolatto,ASTR310,2008,fall,2.0,1.0,,
Alberto Bolatto,ASTR310,2009,fall,1.0,1.0,,
Alberto Bolatto,ASTR340,2010,spring,3.0,1.0,,
Alberto Bolatto,ASTR340,2011,fall,5.0,1.0,,
Alberto Bolatto,ASTR340,2015,fall,5.0,1.0,3.22051282051282,39.0
Alberto Bolatto,ASTR340,2023,spring,1.0,1.0,,
Alberto Bolatto,ASTR340,2023,winter,4.0,1.0,,
Alec Solway,PSYC341,2022,spring,3.5,2.0,3.059090909090909,110.0
Alec Solway,PSYC417,2022,spring,5.0,1.0,3.8,23.0
Alejandra Mercado,ENEE322,2019,spring,5.0,1.0,2.6999999999999997,47.0
Alejandra Mercado,ENEE322,2020,spring,5.0,1.0,3.1411764705882357,17.0
Alejandra Mercado,ENEE322,2021,winter,5.0,1.0,,
Alejandra Mercado,ENEE322,2022,fall,5.0,1.0,2.6950000000000003,20.0
Alejandra Mercado,ENEE322,2022,summer,5.0,1.0,,
Alejandra Montoya Agudelo,ECON426,2020,fall,2.0,1.0,2.9695652173913043,23.0
Alejandro Caneque,HIST220,2013,fall,3.0,1.0,2.8472222222222223,36.0
Alejandro Flores Velazco,CMSC420,2021,spring,3.5,2.0,,
Alejandro Flores Velazco,CMSC420,2021,summer,3.6923076923076925,13.0,,
Alessandra Gavagni,ITAL103,2022,fall,5.0,1.0,3.3766666666666665,30.0
Alessandra Gavagni,ITAL203,2022,spring,5.0,1.0,3.0529411764705885,17.0
Alessandra Gavagni,ITAL207,2023,spring,5.0,1.0,,
Alessandra Palazzo,ECON402,2021,fall,5.0,1.0,,
Alessandra Palazzo,ECON402,2021,spring,2.0,1.0,3.1399999999999997,10.0
Alex Blumenthal,MATH240,2018,fall,4.666666666666667,3.0,2.4586956521739127,230.0
Alex Donahue,ARCH171,2022,fall,1.0,1.0,3.5719298245614035,57.0
Alex Donahue,ARCH171,2023,spring,4.0,3.0,,
Alex Leitch,INST377,2019,fall,1.0,1.0,3.28918918918919,148.0
Alex Leitch,INST377,2020,fall,5.0,1.0,3.734074074074074,135.0
Alex Leitch,INST377,2021,fall,2.0,1.0,3.4925373134328357,134.0
Alex Leitch,INST377,2021,spring,1.0,1.0,3.8252100840336136,119.0
Alex Leitch,INST377,2022,fall,4.0,2.0,3.471969696969697,132.0
Alex Parkhouse,SOCY100,2019,spring,5.0,1.0,3.7461038961038966,154.0
Alex Springer,CMSC422,2018,spring,5.0,1.0,,
Alex Thomas,COMM107,2019,fall,5.0,1.0,3.6192982456140346,57.0
Alex Thomas,COMM107,2020,spring,3.0,1.0,3.736111111111112,36.0
Alexander Barg,ENEE322,2011,spring,2.5,2.0,,
Alexander Barg,ENEE322,2012,spring,4.0,1.0,,
Alexander Barg,ENEE322H,2012,fall,3.0,1.0,3.1105263157894734,19.0
Alexander Barg,ENEE620,2020,fall,1.0,2.0,3.4857142857142858,21.0
Alexander Barg,ENEE620,2020,spring,5.0,1.0,,
Alexander Barg,ENEE620,2021,summer,4.0,1.0,,
Alexander Counts,PLCY213,2021,fall,5.0,1.0,3.210526315789474,38.0
Alexander Dennis,BMGT364,2020,spring,1.0,1.0,3.6923076923076925,39.0
Alexander Devereux,MUSC140,2020,fall,5.0,1.0,,
Alexander Devereux,MUSC140,2020,spring,4.0,1.0,3.864864864864865,37.0
Alexander Devereux,MUSC140,2020,winter,2.0,1.0,,
Alexander Flum,JOUR262,2023,spring,2.0,1.0,,
Alexander Shackman,PSYC210,2022,spring,5.0,2.0,3.670796460176991,113.0
Alexander Williams,PHIL360,2022,spring,3.6666666666666665,3.0,3.2764705882352945,34.0
Alexandra Bely,BSCI106,2010,fall,3.6666666666666665,6.0,,
Alexandra Bely,BSCI106,2011,fall,2.0,1.0,,
Alexandra Bely,BSCI106,2011,spring,5.0,1.0,,
Alexandra Bely,BSCI106,2012,fall,4.0,2.0,2.627152317880794,151.0
Alexandra Bely,BSCI106,2015,winter,5.0,1.0,,
Alexandra Bely,BSCI106H,2013,fall,4.0,1.0,3.4826086956521745,23.0
Alexandra Bely,BSCI106H,2015,winter,5.0,1.0,,
Alexandra Bely,BSCI400,2022,spring,5.0,1.0,3.5533333333333332,30.0
Alexandra Bely,HNUH268Z,2023,spring,5.0,1.0,,
Alexandra Calloway,ENGL101S,2020,fall,4.0,1.0,3.715789473684211,19.0
Alexandra Calloway,ENGL297,2021,winter,4.0,1.0,,
Alexandra Calloway,ENGL393,2011,fall,4.0,1.0,,
Alexandra Calloway,ENGL393,2012,fall,4.0,1.0,3.5545454545454547,22.0
Alexandra Calloway,ENGL393,2012,spring,4.0,1.0,3.6500000000000004,22.0
Alexandra Calloway,ENGL393,2020,spring,5.0,1.0,3.92972972972973,37.0
Alexandra Harlig,HNUH288X,2021,fall,5.0,1.0,3.98,30.0
Alexandra Harlig,HNUH288X,2022,fall,4.0,1.0,3.8425000000000002,40.0
Alexandra Harlig,HNUH288X,2022,spring,5.0,1.0,3.8780487804878048,41.0
Alexandra Harlig,HNUH288X,2022,winter,4.0,1.0,,
Alexandra Jones,AOSC200,2022,fall,4.5,4.0,3.3821428571428567,28.0
Alexandra Jones,AOSC200,2023,spring,4.0,1.0,,
Alexandra Jones,FIRE198,2021,spring,5.0,1.0,3.595652173913044,23.0
Alexandra Jones,FIRE298,2021,spring,5.0,1.0,,
Alexandra Jones,FIRE298,2022,fall,5.0,1.0,3.6571428571428575,14.0
Alexandria Nunn,AASP298L,2022,spring,5.0,1.0,,
Alexandria Nunn,ENGL101,2022,fall,2.0,1.0,3.5567567567567564,37.0
Alexandria Travis,EDCP210,2019,fall,5.0,1.0,3.61764705882353,17.0
Alexandria Travis,EDCP210,2020,spring,5.0,1.0,3.7714285714285714,14.0
Alexis Lothian,HDCC208J,2020,spring,5.0,1.0,,
Alexis Walston,ENGL101,2020,fall,4.0,1.0,3.6000000000000005,17.0
Alexis Williams,EDHD231,2020,fall,5.0,1.0,3.8280000000000003,50.0
Alexis Williams,EDHD231,2022,summer,3.0,1.0,,
Ali Haghani,ENCE360,2014,summer,1.0,1.0,,
Ali Haghani,ENCE360,2021,spring,1.0,1.0,3.214285714285715,28.0
Ali Haghani,ENCE360,2022,summer,1.0,1.0,,
Alice Donlan,EDHD320,2010,fall,2.0,1.0,,
Alice Donlan,EDHD320,2011,fall,5.0,1.0,,
Alice Donlan,EDHD413,2012,summer,3.0,1.0,,
Alice Mignerey,CHEM131,2007,fall,3.0,1.0,,
Alice Mignerey,CHEM131,2008,spring,1.0,1.0,,
Alice Mignerey,CHEM131,2011,fall,2.6666666666666665,3.0,,
Alice Mignerey,CHEM131,2011,spring,2.0,1.0,,
Alice Mignerey,CHEM131,2011,summer,4.0,1.0,,
Alice Mignerey,CHEM131,2014,spring,2.0,2.0,2.425,152.0
Alice Mignerey,CHEM131,2015,fall,1.5,2.0,2.667487684729064,203.0
Alice Mignerey,CHEM131,2015,spring,3.0,1.0,2.473888888888889,180.0
Alice Mignerey,CHEM131,2015,summer,3.0,1.0,,
Alice Mignerey,CHEM131,2019,fall,2.0,1.0,2.6727722772277223,202.0
Alice Mignerey,CHEM131,2020,fall,2.0,5.0,3.0957264957264954,351.0
Alice Mignerey,CHEM131,2020,spring,1.5,2.0,3.3201438848920866,139.0
Alice Mignerey,CHEM131,2021,fall,1.6666666666666667,6.0,2.6697612732095495,377.0
Alice Mignerey,CHEM131,2022,fall,2.4545454545454546,11.0,2.796875,32.0
Alice Mignerey,CHEM131,2022,spring,1.5,2.0,,
Alice Mignerey,CHEM131,2022,winter,1.0,2.0,,
Alice Mignerey,CHEM131,2023,spring,1.0,1.0,,
Alice Mignerey,CHEM131,2023,winter,1.0,1.0,,
Alice Mignerey,CHEM131S,2021,fall,3.0,1.0,,
Alice Mignerey,CHEM146,2010,fall,4.0,1.0,,
Alice Mignerey,CHEM271,2010,spring,4.0,1.0,,
Alice Mignerey,CHEM271,2012,fall,3.0,1.0,,
Alice Mignerey,CHEM271,2012,spring,4.333333333333333,3.0,2.7706666666666666,225.0
Alice Mignerey,CHEM271,2016,spring,1.0,1.0,2.9006993006993,143.0
Alice Mignerey,CHEM403,2023,winter,3.0,1.0,,
Alice Mignerey,HONR238G,2018,spring,4.0,1.0,3.6199999999999997,20.0
Alice Wang,MATH246,2020,fall,5.0,1.0,3.069565217391305,23.0
Alice Wang,MATH246,2020,spring,5.0,1.0,,
Alice Wang,MATH246,2022,spring,3.6666666666666665,3.0,,
Alicia Kollar,PHYS375,2022,summer,1.0,1.0,,
Alicia Kollar,PHYS467,2022,fall,4.0,1.0,2.8360000000000003,25.0
Alicia Volk,ARTH290,2010,fall,2.0,6.0,,
Alicia Volk,ARTH290,2011,winter,1.0,1.0,,
Alicia Volk,ARTH488B,2012,winter,2.0,1.0,,
Alireza Khaligh,ENEE476,2021,fall,3.0,1.0,3.3765957446808508,47.0
Alisa Clyne,BIOE331,2021,spring,4.0,1.0,3.4068181818181817,44.0
Alisa Hardy,COMM360,2022,fall,5.0,1.0,3.2833333333333337,24.0
Alison Boyd,ARTH489N,2020,spring,5.0,1.0,3.9125,8.0
Alison Burns,CPMS100,2021,fall,5.0,1.0,3.9272727272727277,77.0
Alison Burns,CPMS100,2022,fall,5.0,2.0,3.7156626506024093,83.0
Alison Burns,CPMS101,2020,fall,5.0,1.0,,
Alison Burns,CPMS225,2022,fall,5.0,2.0,3.8890625000000005,64.0
Alison Burns,JOUR130,2017,fall,5.0,1.0,,
Alison Burns,JOUR360,2013,fall,5.0,1.0,,
Alison Flatau,ENAE283H,2007,fall,5.0,1.0,,
Alison Flatau,ENAE283H,2009,fall,4.0,1.0,,
Alison Flatau,ENAE283H,2009,winter,3.0,1.0,,
Alison Flatau,ENAE283H,2010,spring,4.0,1.0,,
Alison Flatau,ENAE283H,2011,spring,5.0,1.0,,
Alison Flatau,ENAE283H,2012,fall,3.0,1.0,3.688,25.0
Alison Flatau,ENAE283H,2012,spring,2.0,1.0,,
Alison Flatau,ENAE283H,2020,fall,5.0,1.0,3.7703703703703706,27.0
Alison Robey,HESP214,2021,fall,5.0,1.0,3.479310344827587,29.0
Alison Robey,PSYC417,2022,spring,5.0,1.0,3.817391304347826,23.0
Aliza Sandalon,HEBR313,2022,fall,5.0,1.0,3.7954545454545454,22.0
Alka Gandhi,ECON200,2007,fall,5.0,3.0,,
Alka Gandhi,ECON200,2009,spring,4.75,4.0,,
Alka Gandhi,ECON200,2010,spring,4.285714285714286,7.0,,
Alka Gandhi,ECON200,2011,fall,2.5,2.0,,
Alka Gandhi,ECON200,2011,spring,4.5,2.0,,
Alka Gandhi,ECON321,2008,spring,4.5,2.0,,
Alka Gandhi,ECON321,2009,fall,3.0,1.0,,
Alka Gandhi,ECON321,2009,spring,4.0,1.0,,
Alka Gandhi,ECON321,2010,fall,4.0,2.0,,
Alka Gandhi,ECON321,2010,spring,1.0,1.0,,
Alka Gandhi,ECON321,2010,summer,4.0,1.0,,
Alka Gandhi,ECON321,2010,winter,4.0,1.0,,
Alka Gandhi,ECON321,2011,spring,4.5,2.0,,
Alka Gandhi,ECON321,2022,spring,4.0,2.0,1.9687500000000002,32.0
Alka Gandhi,ECON325,2022,spring,3.0,2.0,2.1833333333333327,30.0
Alka Gandhi,ECON422,2019,spring,1.0,1.0,2.3448275862068964,58.0
Alka Gandhi,ECON422,2021,spring,1.0,2.0,2.761290322580645,31.0
Alka Gandhi,ECON422,2022,spring,1.0,1.0,2.158333333333333,12.0
Alka Gandhi,ECON422,2023,winter,5.0,1.0,,
Allan Drazen,ECON325,2009,spring,5.0,1.0,,
Allan Drazen,ECON325,2010,spring,2.0,1.0,,
Allan Drazen,ECON325,2011,spring,1.0,1.0,,
Allan Drazen,ECON325,2013,spring,1.3333333333333333,3.0,2.6801282051282054,156.0
Allan Drazen,ECON325,2014,fall,1.0,1.0,,
Allan Drazen,HONR259G,2020,fall,3.5,2.0,3.81,20.0
Allan Drazen,HONR259G,2021,summer,1.0,1.0,,
