name,course,slug,average_rating,num_ratings
ALEX THOMAS,COMM107,thomas_alex,3.0,1.0
ALEXANDER BARG,ENEE322H,barg,3.0,1.0
ALEXANDER BARG,ENEE620,barg,2.75,4.0
ALEXANDER BARG,ENEE322,barg,2.5,2.0
ALEXANDER DEVEREUX,MUSC140,devereux_alexander,4.5,2.0
ALEXANDER SHACKMAN,PSYC210,shackman,5.0,1.0
ALEXANDER WILLIAMS,PHIL360,williams_alexander,4.0,2.0
ALEXANDRA BELY,BSCI106,bely,3.7,10.0
ALEXANDRA BELY,BSCI106H,bely,4.5,2.0
ALEXANDRA BELY,BSCI400,bely,5.0,1.0
ALEXANDRA BELY,HNUH268Z,bely,5.0,1.0
ALEXANDRA CALLOWAY,ENGL297,calloway,4.0,1.0
ALEXANDRA CALLOWAY,ENGL393,calloway,4.25,4.0
ALEXANDRA HARLIG,HNUH288X,harlig,4.333333333333333,3.0
ALEXANDRA JONES,AOSC200,jones_alexandra,4.75,4.0
ALEXANDRA JONES,FIRE198,jones_alexandra,5.0,1.0
ALEXANDRA JONES,FIRE298,jones_alexandra,5.0,2.0
ALEXANDRIA NUNN,ENGL101,nunn_alexandria,2.0,1.0
ALEXANDRIA TRAVIS,EDCP210,travis,5.0,1.0
ALEXIS WILLIAMS,EDHD231,williams_alexis,3.0,1.0
ALI HAGHANI,ENCE360,haghani_ali,1.0,2.0
ALICE DONLAN,EDHD320,donlan,2.0,1.0
ALICE DONLAN,EDHD413,donlan,3.0,1.0
ALICE MIGNEREY,CHEM131,mignerey,2.046511627906977,43.0
ALICE MIGNEREY,CHEM131S,mignerey,3.0,1.0
ALICE MIGNEREY,CHEM146,mignerey,4.0,1.0
ALICE MIGNEREY,CHEM271,mignerey,3.5,6.0
ALICE MIGNEREY,CHEM403,mignerey,3.0,1.0
ALICE MIGNEREY,HONR238G,mignerey,4.0,1.0
ALICE WANG,MATH246,wang_alice,4.0,4.0
ALICIA KOLLAR,PHYS467,kollar,4.0,1.0
ALICIA VOLK,ARTH290,volk,2.0,6.0
ALICIA VOLK,ARTH488B,volk,2.0,1.0
ALISON BURNS,JOUR360,burns,5.0,1.0
ALISON BURNS,CPMS225,burns,5.0,2.0
ALISON BURNS,JOUR130,burns,5.0,1.0
ALISON BURNS,CPMS100,burns,5.0,2.0
ALISON BURNS,CPMS101,burns,5.0,1.0
ALISON FLATAU,ENAE283H,flatau,4.0,7.0
ALISON ROBEY,PSYC417,robey_alison,5.0,1.0
ALKA GANDHI,ECON200,gandhi,4.352941176470588,17.0
ALKA GANDHI,ECON321,gandhi,3.8461538461538463,13.0
ALKA GANDHI,ECON325,gandhi,3.0,2.0
ALKA GANDHI,ECON422,gandhi,1.8,5.0
ALLAN DRAZEN,ECON325,drazen,2.0,6.0
ALLAN DRAZEN,HONR259G,drazen,2.6666666666666665,3.0
ALLAN WIGFIELD,EDHD413,wigfield,5.0,1.0
ALLAN YASHINSKI,MATH405,yashinski,4.0,1.0
ALLAN YASHINSKI,MATH461,yashinski,4.142857142857143,7.0
ALLAN YASHINSKI,MATH402,yashinski,5.0,1.0
ALLAN YASHINSKI,MATH403,yashinski,5.0,2.0
ALLAN YASHINSKI,MATH241H,yashinski,4.142857142857143,7.0
ALLAN YASHINSKI,MATH240,yashinski,4.809523809523809,21.0
ALLAN YASHINSKI,MATH401,yashinski,5.0,2.0
ALLEN DAVIS,ENCE412,davis_allen,3.0,1.0
ALLEN ENEY,GEOG202,eney_allen,1.0,1.0
ALLEN ENEY,GEOG312,eney_allen,3.0,1.0
ALLEN ENEY,GEOG330,eney_allen,5.0,1.0
ALLEN STAIRS,PHIL201,stairs,2.3333333333333335,3.0
ALLEN STAIRS,PHIL209I,stairs,1.3333333333333333,3.0
ALLEN STAIRS,PHIL236,stairs,3.0,1.0
ALLEN STAIRS,PHIL354,stairs,5.0,2.0
ALLEN WINKELMANN,ENAE362,winkelmann,3.0,6.0
ALLEN WINKELMANN,ENAE464,winkelmann,3.0,2.0
ALLISON CHATHAM,COMM107,chatham,5.0,2.0
ALLISON TJADEN,LARC151,tjaden_allison,4.5,2.0
ALLYNN POWELL,EDCP108C,powell_allynn,5.0,1.0
ALYSSA ORLANDO,UNIV100,orlando_alyssa,5.0,1.0
AMADOR JOMUAD,MATH113,jomuad,1.0,4.0
AMANDA ALLEN,ENGL101,allen_amanda,4.111111111111111,9.0
AMANDA BERGER,FMSC332,berger_amanda,4.5,2.0
AMANDA CHICOLI,NEUR305,chicoli,4.714285714285714,7.0
AMANDA CHICOLI,PSYC207,chicoli,3.0,1.0
AMANDA CHICOLI,PSYC300,chicoli,2.0,1.0
AMANDA CHICOLI,PSYC302,chicoli,2.4,5.0
AMANDA CHICOLI,PSYC489R,chicoli,4.0,3.0
AMANDA HALL,GEOG201,hall_amanda,5.0,4.0
AMANDA HALL,GEOG211,hall_amanda,5.0,1.0
AMANDA SCHECH,CHEM131,schech,3.2666666666666666,15.0
AMANDA SCHECH,CHEM131S,schech,5.0,1.0
AMANDA SCHECH,CHEM135,schech,4.166666666666667,6.0
AMANDA SCHECH,CHEM272,schech,4.235294117647059,17.0
AMANDA SOUNA,CHEM483,souna,3.2,5.0
AMANDA SOUNA,CHEM484,souna,5.0,1.0
AMARA DOIG,HLTH264,doig,5.0,1.0
AMBER DANIELS,DANC200,daniels_amber,1.0,1.0
AMBER DANIELS,THET251,daniels_amber,5.0,1.0
AMBER MOORE,JOUR130,moore_amber,4.8,5.0
AMDE AMDE,ENCE454,amde,3.0,1.0
AMELIA BRANIGAN,SOCY100,branigan,5.0,6.0
AMIN GHOLAMPOUR,MATH140,gholampour,5.0,3.0
AMIN GHOLAMPOUR,MATH141,gholampour,4.368421052631579,19.0
AMIN GHOLAMPOUR,MATH403,gholampour,4.0,5.0
AMIN GHOLAMPOUR,MATH461,gholampour,5.0,1.0
AMIN GHOLAMPOUR,MATH462,gholampour,5.0,1.0
AMIR RIAZ,ENME331,riaz,3.25,4.0
AMIR RIAZ,ENME332,riaz,2.6,5.0
AMIR SAPKOTA,MIEH400,sapkota_amir,2.25,4.0
AMIRA LUNDY-HARRIS,WMST250,lundy-harris,5.0,2.0
AMOL DESHPANDE,CMSC724,deshpande,5.0,2.0
AMOL DESHPANDE,CMSC424,deshpande,2.769230769230769,26.0
AMR BAZ,ENME664,baz,5.0,1.0
AMR BAZ,ENME662,baz,5.0,1.0
AMR BAZ,ENME361,baz,5.0,3.0
AMR BAZ,ENME462,baz,5.0,8.0
AMRO HASSANEIN,ENST415,hassanein,4.5,2.0
AMY BURK,ANSC232,burk_amy,5.0,1.0
AMY FISHER,INAG110,fisher_amy,5.0,9.0
AMY KARLSSON,ENES100,karlsson,5.0,1.0
AMY LEWIN,FMSC332,lewin_amy,5.0,3.0
AMY MORGAN,FMSC330,morgan_amy,5.0,2.0
AMY MORGAN,FMSC340,morgan_amy,5.0,1.0
AMY MULLIN,CHEM131,mullin,1.75,4.0
AMY MULLIN,CHEM146,mullin,1.25,4.0
AMY MULLIN,CHEM276,mullin,4.0,1.0
ANA CEBRIAN,NEUR200,cebrian,3.6666666666666665,6.0
ANA CEBRIAN,PSYC404,cebrian,5.0,1.0
ANA GARCIA,SPAN311,garcia_ana_acedo,4.4,5.0
ANA GARCIA,SPAN302,garcia_ana_acedo,4.0,4.0
ANA GARCIA,SPAN301,garcia_ana_acedo,4.75,8.0
ANA RODRIGUEZ,SPAN374,rodriguez_ana,2.0,1.0
ANA RODRIGUEZ,SPAN408I,rodriguez_ana,2.0,1.0
ANA RODRIGUEZ,SPAN408W,rodriguez_ana,2.0,1.0
ANA RODRIGUEZ,USLT201,rodriguez_ana,4.0,3.0
ANA RODRIGUEZ,USLT202,rodriguez_ana,4.0,1.0
ANAHI ESPINDOLA,BSCI103,espindola,4.0,2.0
ANDRE TITS,ENEE322H,tits,4.666666666666667,3.0
ANDRE TITS,ENEE460,tits,3.6666666666666665,3.0
ANDREA FRISCH,FREN352,frisch_andrea,4.0,2.0
ANDREA KNOWLES,CMLT275,knowles,5.0,1.0
ANDREA LIBERTO,KNES161C,liberto_andrea,5.0,1.0
ANDREA LIBERTO,KNES200,liberto_andrea,5.0,2.0
ANDREA LOPEZ,ANTH210,lopez,5.0,1.0
ANDREA LOPEZ,ANTH412,lopez,5.0,1.0
ANDREA ZUKOWSKI,HONR218L,zukowski,3.5,2.0
ANDREI VEDERNIKOV,CHEM131,vedernikov,3.388888888888889,18.0
ANDREI VEDERNIKOV,CHEM131S,vedernikov,5.0,1.0
ANDREI VEDERNIKOV,CHEM135,vedernikov,3.3636363636363638,11.0
ANDREI VEDERNIKOV,CHEM146,vedernikov,2.6666666666666665,3.0
ANDREI VEDERNIKOV,CHEM271,vedernikov,1.75,4.0
ANDREI VEDERNIKOV,CHEM401,vedernikov,4.5,2.0
ANDREW BECNEL,ENAE283,becnel,4.0,1.0
ANDREW BECNEL,ENAE654,becnel,1.0,1.0
ANDREW CHILDS,CMSC451,childs,4.6875,16.0
ANDREW DELFINO,ENGL393,delfino_andrew,5.0,4.0
ANDREW FYFE,PHIL140,fyfe,3.6666666666666665,12.0
ANDREW FYFE,PHIL282,fyfe,5.0,1.0
ANDREW GINSBERG,KNES201,ginsberg,5.0,1.0
ANDREW HARRIS,ASTR410,harris_andrew,1.0,1.0
ANDREW HARRIS,ASTR340,harris_andrew,5.0,2.0
ANDREW HOWARD,ENGL101,howard_andrew,5.0,3.0
ANDREW SCHONEBAUM,SLLC286,schonebaum,5.0,13.0
ANDREW SWEETING,ECON460,sweeting,3.0,2.0
ANDRIS SKUJA,PHYS103,skuja,4.0,1.0
ANDRIS SKUJA,PHYS161,skuja,1.0,8.0
ANDRIS SKUJA,PHYS260,skuja,1.1666666666666667,6.0
ANDY YEH,ENGL101,yeh_andy,1.5,4.0
ANDY YEH,ENGL101H,yeh_andy,5.0,1.0
ANGELA BLACK,ANSC204,black_angela,4.5,2.0
ANGELA BLACK,ANSC211,black_angela,4.6,5.0
ANGELA BLACK,ANSC260,black_angela,5.0,2.0
ANGELA JONES,BIOE121,jones_angela,3.5,2.0
ANGELA JONES,BIOE372,jones_angela,5.0,1.0
ANGELA JONES,BIOE120,jones_angela,2.5,4.0
ANGELA JONES,BIOE658M,jones_angela,5.0,1.0
ANIL GUPTA,ENME489W,gupta_anil,3.0,1.0
ANISHA SINGH,EDHD460,singh_anisha,4.0,1.0
ANITA SANYAL,TLPL101,sanyal,5.0,1.0
ANJALI SHETH,EDCP210,sheth_anjali,5.0,1.0
ANKUR SRIVASTAVA,ENEE350,srivastava_ankur,4.75,4.0
ANKUR SRIVASTAVA,ENEE350H,srivastava_ankur,4.4,5.0
ANKUR SRIVASTAVA,ENEE641,srivastava_ankur,1.0,1.0
ANN BATTLE,EDHD413,battle,5.0,1.0
ANN MASON,ENGL393,mason_ann,4.5,2.0
ANN MASON,ENGL398V,mason_ann,5.0,2.0
ANN SMITH,BSCI223,smith_ann,4.333333333333333,3.0
ANN SMITH,BSCI348A,smith_ann,4.0,1.0
ANNA ALBERINI,AREC382,alberini,2.6,5.0
ANNA ALBERINI,ECON484,alberini,1.0,1.0
ANNA LI,PSYC301,li_anna,5.0,1.0
ANNA POSBERGH,KNES400,posbergh,5.0,1.0
ANNA SZCZEPANIEC-BIALAS,ENGL391,szczepaniec-bialas,1.0,1.0
ANNA SZCZEPANIEC-BIALAS,ENGL394,szczepaniec-bialas,4.6,5.0
ANNE BAUM,UNIV100,baum_anne,5.0,1.0
ANNE KAISER,PLCY201,kaiser,2.0,1.0
ANNE KAISER,PLCY203,kaiser,3.0,2.0
ANNE KAISER,PLCY311,kaiser,2.6666666666666665,3.0
ANNE RUSH,HIST233,rush_anne,2.0,1.0
ANNE RUSH,HIST289O,rush_anne,4.0,6.0
ANNE SIMON,BSCI105,simon_anne,3.65,20.0
ANNE SIMON,BSCI105C,simon_anne,3.0,17.0
ANNE SIMON,BSCI105S,simon_anne,3.4,5.0
ANNE SIMON,BSCI170C,simon_anne,2.9,10.0
ANNE SMITHSON,COMM107,smithson,5.0,1.0
ANNE WARREN,HONR239C,warren,4.0,1.0
ANNEMARIE EWING,ENGL257,ewing_annemarie,5.0,2.0
ANNETTE SPIVY,ENSP101,spivy,4.5,12.0
ANSON HOOK,PHYS274,hook,3.0,2.0
ANTHONY BANES,ENAE380,banes,2.6666666666666665,3.0
ANTHONY BATTS,ENGL393,batts,5.0,2.0
ANTHONY BATTS,ENGL101,batts,4.4,5.0
ANTHONY BATTS,ENGL101H,batts,5.0,1.0
ANTHONY COLANTUONO,ARTH201,colantuono,3.6666666666666665,6.0
ANTHONY EPHREMIDES,ENEE322,ephremides,3.0,2.0
ANTHONY EPHREMIDES,ENEE324,ephremides,1.0,3.0
ANTHONY EPHREMIDES,ENEE621,ephremides,4.0,1.0
ANTHONY PAGNOTTI,INAG110,pagnotti,5.0,1.0
ANTHONY PELLICONE,HACS100,pellicone,2.4285714285714284,7.0
ANTOINE BANKS,GVPT422,banks_antoine,5.0,1.0
ANTOINE BANKS,GVPT479Y,banks_antoine,3.0,2.0
ANTOINE BORRUT,HIST120,borrut,4.8,5.0
ANTOINE BORRUT,HIST429Y,borrut,5.0,1.0
ANTOINE MELLET,MATH461,mellet,4.666666666666667,9.0
ANTOINE MELLET,MATH463,mellet,4.0,8.0
ANTOINE MELLET,MATH462,mellet,3.75,4.0
ANTOINE MELLET,MATH246,mellet,4.333333333333333,3.0
ANTOINE MELLET,MATH241,mellet,4.571428571428571,7.0
ANTOINE MELLET,MATH240,mellet,4.0,6.0
ANTOINE MELLET,MATH406,mellet,4.5,2.0
ANTONG LIU,PHIL245,liu_antong,4.25,4.0
ANTONG LIU,PHIL445,liu_antong,5.0,3.0
ANUKRITI SINGH,INST126,singh_anukriti,4.0,1.0
ANWAR BHATTI,PHYS275,bhatti,4.0,1.0
ANWAR MAMAT,CMSC132,mamat,4.666666666666667,3.0
ANWAR MAMAT,CMSC330,mamat,3.8333333333333335,18.0
ANWAR MAMAT,CMSC433,mamat,3.75,8.0
ARAVIND SRINIVASAN,CMSC451,srinivasan,4.0,3.0
ARAVIND SRINIVASAN,CMSC420,srinivasan,5.0,1.0
ARAVIND SRINIVASAN,CMSC456,srinivasan,3.5,4.0
ARCHANA KHURANA,STAT401,khurana,5.0,4.0
ARCHANA KHURANA,STAT410,khurana,3.0,1.0
ARCHANA KHURANA,STAT100,khurana,4.5,4.0
ARCHANA KHURANA,MATH240,khurana,5.0,1.0
ARCHANA KHURANA,MATH141,khurana,5.0,1.0
ARCHANA KHURANA,MATH120,khurana,4.75,12.0
ARGHYA SADHUKHAN,MATH121,sadhukhan,4.0,1.0
ARI ISRAEL,HESI418F,israel_ari,5.0,1.0
ARI MONTES,COMM107,perez_montes,5.0,1.0
ARI MONTES,COMM382,perez_montes,5.0,1.0
ARIC BILLS,INST326,bills,4.888888888888889,9.0
ARIJIT SEHANOBISH,MATH140,sehanobish,2.2,5.0
ARIS CLEANTHOUS,ENES102,cleanthous,4.6923076923076925,13.0
ARISTOS CHRISTOU,ENME382,christou,3.0,2.0
ARJAV SHAH,INST408K,shah_arjav,3.0,1.0
ARJAV SHAH,INST408O,shah_arjav,4.5,2.0
ARMAND MAKOWSKI,ENEE621,makowski,4.0,1.0
ARMAND MAKOWSKI,ENEE620,makowski,1.0,1.0
ARMAND MAKOWSKI,ENEE324H,makowski,2.0,1.0
ARMAND MAKOWSKI,ENEE324,makowski,1.3333333333333333,3.0
ARMAND MAKOWSKI,ENEE222,makowski,1.0,1.0
ARPITA UPADHYAYA,PHYS174,upadhyaya,4.5,2.0
ARTHUR ECKSTEIN,HIST110,eckstein,2.5,8.0
ARTHUR ECKSTEIN,HIST326,eckstein,1.0,1.0
ARTHUR JOHNSON,BIOE120,johnson_arthur,1.5,6.0
ARTHUR JOHNSON,BIOE332,johnson_arthur,3.4,5.0
ARTHUR REYNOLDS,ENGL395,reynolds_arthur,4.333333333333333,3.0
ASHLEY ARAGON,COMM107,aragon,5.0,5.0
ASHLEY ARAGON,COMM107D,aragon,5.0,2.0
ASHLEY BAXTER,CHEM131,baxter_ashley,3.8518518518518516,27.0
ASHLEY BAXTER,CHEM131S,baxter_ashley,5.0,1.0
ASHLEY HIXSON,HESI217,hixson,3.0,1.0
ASHLEY HIXSON,HESI315,hixson,5.0,1.0
ASHLEY NEWBY,AASP187,newby,5.0,1.0
ASHOK AGRAWALA,CMSC417,agrawala,2.25,4.0
ASHOK AGRAWALA,CMSC412,agrawala,1.8,5.0
ASHWANI GUPTA,ENME489X,gupta_ashwani,2.0,2.0
ATIF MEMON,CMSC330,memon,5.0,1.0
ATIF MEMON,CMSC435,memon,4.0,1.0
AUDALDO PONCE,ENMA312,ponce,3.0,2.0
AVIK DUTT,ENAE202,dutt_avik,3.0,2.0
AVIK DUTT,ENME202,dutt_avik,3.8333333333333335,18.0
AVITAL KARPMAN,HEBR106,karpman,5.0,2.0
AYA FARHAT,COMM107,farhat,5.0,2.0
AYLON MANOR,PHPE308T,manor,4.0,1.0
AYLON MANOR,PHPE401,manor,5.0,2.0
AYSHA JAWED,ENGL393,jawed,5.0,5.0
AYSHA JAWED,ENGL395,jawed,5.0,1.0
AYSUN PAUKOWITS,BMGT441,alp,4.0,4.0
B BALACHANDRAN,ENME662,balachandran,3.0,1.0
BABAK FOTOUHI,INST414,fotouhi,5.0,1.0
BABAK FOTOUHI,INST155,fotouhi,2.4285714285714284,7.0
BABAK FOTOUHI,INST314,fotouhi,3.6666666666666665,3.0
BAHAR ASGARI,CMSC411,asgari_bahar,4.8,10.0
BAO YANG,ENME332,yang_bao,1.5,2.0
BARBARA MICHELATO,MATH113,michelato,1.4444444444444444,18.0
BARNET CORWIN,BMGT301,corwin,3.2222222222222223,9.0
BARNET PAVAO-ZUCKERMAN,ANTH222,pavao-zuckerman_barnet,5.0,1.0
BARNET PAVAO-ZUCKERMAN,HONR239N,pavao-zuckerman_barnet,5.0,1.0
BARRY PEARSON,ENGL368B,pearson_barry,5.0,1.0
BARRY PEARSON,ENGL462,pearson_barry,5.0,1.0
BAYLEY MARQUEZ,AMST310,marquez,5.0,1.0
BECKY EPANCHIN-NIELL,AREC200,epanchin-niell_becky,3.8333333333333335,6.0
BEHTASH BABADI,ENEE633,babadi,5.0,1.0
BEI HU,PHYS274,hu_bei-lok,5.0,2.0
BEI HU,PHYS122,hu_bei-lok,2.0,1.0
BEI HU,PHYS371,hu_bei-lok,3.5,2.0
BEN BEZEJOUH,MATH120,bezejouh,1.6666666666666667,3.0
BEN BEZEJOUH,MATH115,bezejouh,2.0,3.0
BENEDIKT DIEMER,ASTR340,diemer,4.285714285714286,7.0
BENJAMIN BAKER,ENGL101X,baker_benjamin,3.409090909090909,22.0
BENJAMIN BAKER,ENGL140,baker_benjamin,5.0,3.0
BENJAMIN BAKER,ENGL391,baker_benjamin,1.0,1.0
BENJAMIN HUFFMAN,FIRE120,huffman_benjamin,5.0,1.0
BENJAMIN HUFFMAN,FIRE198,huffman_benjamin,4.0,1.0
BENJAMIN JONES,PSYC100,jones_benjamin,4.636363636363637,11.0
BENJAMIN JONES,PSYC200,jones_benjamin,4.75,8.0
BENJAMIN JONES,PSYC420,jones_benjamin,5.0,1.0
BENJAMIN KEDEM,STAT430,kedem,2.875,8.0
BERNARD COOPERMAN,HIST135,cooperman,3.6666666666666665,3.0
BERNARD COOPERMAN,HIST187,cooperman,3.6666666666666665,3.0
BERNARD COOPERMAN,HIST419R,cooperman,4.333333333333333,3.0
BERNARD COOPERMAN,JWST187,cooperman,4.0,2.0
BERTRAND SOBESTO,HACS202,sobesto,3.2,5.0
BERYL BLAND,ARTH250,bland_beryl,1.3333333333333333,3.0
BERYL BLAND,ARTH370,bland_beryl,5.0,1.0
BETH PARENT,BSCI330,parent,3.6666666666666665,6.0
BETH PARENT,CPSF100,parent,5.0,2.0
BETH PARENT,CPSF101,parent,5.0,1.0
BETH PARENT,CPSP218L,parent,5.0,1.0
BETSY PETRUSIC,ARCH170,petrusic_betsy,5.0,1.0
BETZALEL MOSKOWITZ,INST208L,moskowitz,5.0,1.0
BIANCA LICITRA,ENGL101,licitra,4.0,1.0
BILAL AYYUB,ENCE302,ayyub,4.333333333333333,3.0
BILAL AYYUB,ENCE353,ayyub,4.5,2.0
BILAL AYYUB,ENCE621,ayyub,3.0,1.0
BILL FAGAN,BSCI160,fagan_bill,5.0,2.0
BINOD PAUDYAL,AAST200,paudyal,5.0,1.0
BINOD PAUDYAL,AAST351,paudyal,5.0,1.0
BINOD PAUDYAL,AAST355,paudyal,5.0,1.0
BLAKE WILDER,ENGL394,wilder_blake,3.0,1.0
BO ZHOU,BMGT452,zhou_bo,5.0,2.0
BOBBIE FOSTER,JOUR175,foster_bobbie,5.0,1.0
BOBBIE FOSTER,JOUR200,foster_bobbie,4.0,1.0
BONGTAE HAN,ENES220,han_bongtae,3.5,6.0
BONGTAE HAN,ENME690,han_bongtae,2.5,2.0
BONNIE DIXON,BCHM463,dixon_bonnie,2.6666666666666665,12.0
BONNIE DIXON,CHEM131,dixon_bonnie,3.8421052631578947,19.0
BONNIE DIXON,CHEM134,dixon_bonnie,2.1666666666666665,6.0
BONNIE DIXON,CHEM135,dixon_bonnie,3.7586206896551726,29.0
BONNIE DIXON,CHEM231,dixon_bonnie,4.205882352941177,68.0
BONNIE DIXON,CHEM241,dixon_bonnie,4.7272727272727275,11.0
BONNIE DIXON,CHEM271,dixon_bonnie,2.0,1.0
BRAD CONRAD,PHYS161,conrad_brad,5.0,1.0
BRADFORD SANDERS,MATH141,sanders_bradford,5.0,3.0
BRADLEY BOEKELOO,HLTH200,boekeloo,3.0,1.0
BRANDI SLAUGHTER,PLCY302,slaughter_brandi,3.0,2.0
BRANDI SLAUGHTER,PLCY288L,slaughter_brandi,2.0,1.0
BRANDON ALEXANDER,MATH141,alexander_brandon,4.75,4.0
